'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.230
'0:00.010',-0.105
'0:00.020',0.000
'0:00.030',0.000
'0:00.040',0.060
'0:00.050',0.090
'0:00.060',0.025
'0:00.070',0.100
'0:00.080',0.135
'0:00.090',0.560
'0:00.100',0.730
'0:00.110',0.285
'0:00.120',-0.860
'0:00.130',-2.800
'0:00.140',-1.950
'0:00.150',-1.400
'0:00.160',-0.540
'0:00.170',0.025
'0:00.180',-0.060
'0:00.190',0.095
'0:00.200',0.010
'0:00.210',0.070
'0:00.220',-0.015
'0:00.230',0.070
'0:00.240',-0.015
'0:00.250',-0.005
'0:00.260',-0.030
'0:00.270',0.010
'0:00.280',-0.065
'0:00.290',0.040
'0:00.300',0.035
'0:00.310',0.055
'0:00.320',0.015
'0:00.330',0.090
'0:00.340',0.080
'0:00.350',0.110
'0:00.360',0.045
'0:00.370',0.050
'0:00.380',-0.045
'0:00.390',0.005
'0:00.400',-0.085
'0:00.410',-0.285
'0:00.420',-0.485
'0:00.430',-0.905
'0:00.440',-0.650
'0:00.450',-0.515
'0:00.460',-0.320
'0:00.470',-0.250
'0:00.480',2.020
'0:00.490',1.385
'0:00.500',-0.160
'0:00.510',-0.595
'0:00.520',-0.080
'0:00.530',-0.190
'0:00.540',0.100
'0:00.550',0.230
'0:00.560',0.500
'0:00.570',1.795
'0:00.580',0.765
'0:00.590',0.860
'0:00.600',0.625
'0:00.610',0.550
'0:00.620',0.235
'0:00.630',0.455
'0:00.640',0.965
'0:00.650',0.905
'0:00.660',0.740
'0:00.670',0.590
'0:00.680',0.240
'0:00.690',0.560
'0:00.700',0.170
'0:00.710',0.120
'0:00.720',-0.190
'0:00.730',-0.115
'0:00.740',0.330
'0:00.750',0.545
'0:00.760',0.380
'0:00.770',-0.085
'0:00.780',-0.455
'0:00.790',-0.325
'0:00.800',-0.515
'0:00.810',-0.870
'0:00.820',-0.840
'0:00.830',-1.240
'0:00.840',-1.125
'0:00.850',-1.095
'0:00.860',-0.885
'0:00.870',-0.940
'0:00.880',-0.820
'0:00.890',-0.900
'0:00.900',-0.880
'0:00.910',-1.095
'0:00.920',-1.030
'0:00.930',-1.135
'0:00.940',-1.195
'0:00.950',-1.355
'0:00.960',-1.385
'0:00.970',-1.520
'0:00.980',-1.715
'0:00.990',-1.875
'0:01.000',-2.095
'0:01.010',-2.265
'0:01.020',-2.540
'0:01.030',-2.890
'0:01.040',-3.160
'0:01.050',-3.420
