'Time and date','EEG O1'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[23:27:16.000 06/02/2013]',-2.750
'[23:27:16.000 06/02/2013]',-3.656
'[23:27:16.001 06/02/2013]',-4.531
'[23:27:16.001 06/02/2013]',-5.406
'[23:27:16.002 06/02/2013]',-6.250
'[23:27:16.002 06/02/2013]',-7.063
'[23:27:16.003 06/02/2013]',-7.844
'[23:27:16.003 06/02/2013]',-8.594
'[23:27:16.004 06/02/2013]',-9.313
'[23:27:16.004 06/02/2013]',-10.000
'[23:27:16.005 06/02/2013]',-10.656
'[23:27:16.005 06/02/2013]',-11.219
'[23:27:16.006 06/02/2013]',-11.781
'[23:27:16.006 06/02/2013]',-12.281
'[23:27:16.007 06/02/2013]',-12.719
'[23:27:16.007 06/02/2013]',-13.125
'[23:27:16.008 06/02/2013]',-13.469
'[23:27:16.008 06/02/2013]',-13.750
'[23:27:16.009 06/02/2013]',-14.000
'[23:27:16.009 06/02/2013]',-14.219
'[23:27:16.010 06/02/2013]',-14.375
'[23:27:16.010 06/02/2013]',-14.500
'[23:27:16.011 06/02/2013]',-14.594
'[23:27:16.011 06/02/2013]',-14.625
'[23:27:16.012 06/02/2013]',-14.656
'[23:27:16.012 06/02/2013]',-14.656
'[23:27:16.013 06/02/2013]',-14.594
'[23:27:16.013 06/02/2013]',-14.563
'[23:27:16.014 06/02/2013]',-14.469
'[23:27:16.014 06/02/2013]',-14.375
'[23:27:16.015 06/02/2013]',-14.281
'[23:27:16.015 06/02/2013]',-14.188
'[23:27:16.016 06/02/2013]',-14.063
'[23:27:16.016 06/02/2013]',-13.969
'[23:27:16.017 06/02/2013]',-13.844
'[23:27:16.017 06/02/2013]',-13.750
'[23:27:16.018 06/02/2013]',-13.656
'[23:27:16.018 06/02/2013]',-13.563
'[23:27:16.019 06/02/2013]',-13.500
'[23:27:16.019 06/02/2013]',-13.438
'[23:27:16.020 06/02/2013]',-13.406
'[23:27:16.020 06/02/2013]',-13.375
'[23:27:16.021 06/02/2013]',-13.375
'[23:27:16.021 06/02/2013]',-13.375
'[23:27:16.021 06/02/2013]',-13.375
'[23:27:16.022 06/02/2013]',-13.406
'[23:27:16.022 06/02/2013]',-13.438
'[23:27:16.023 06/02/2013]',-13.500
'[23:27:16.023 06/02/2013]',-13.563
'[23:27:16.024 06/02/2013]',-13.625
'[23:27:16.024 06/02/2013]',-13.688
'[23:27:16.025 06/02/2013]',-13.781
'[23:27:16.025 06/02/2013]',-13.844
'[23:27:16.026 06/02/2013]',-13.938
'[23:27:16.026 06/02/2013]',-14.000
'[23:27:16.027 06/02/2013]',-14.063
'[23:27:16.027 06/02/2013]',-14.156
'[23:27:16.028 06/02/2013]',-14.219
'[23:27:16.028 06/02/2013]',-14.281
'[23:27:16.029 06/02/2013]',-14.344
'[23:27:16.029 06/02/2013]',-14.375
'[23:27:16.030 06/02/2013]',-14.406
'[23:27:16.030 06/02/2013]',-14.438
'[23:27:16.031 06/02/2013]',-14.469
'[23:27:16.031 06/02/2013]',-14.500
'[23:27:16.032 06/02/2013]',-14.500
